"","user_id","created_at","text","location","hashtags"
"1","155418888","1563822924","I'm not sad to see @ParryGlasspool3 go. I really liked him but @Hollyoaks totally ruined his character. Most of his storylines, if not all, were only ever based around him cheating 😢 #hollyoaks","Ireland","hollyoaks"
"2","147363745","1563822904","@JackRobertson09 @CollaVoceShef Hit me up! Come and see my Edinburgh debut with #ApocalypseSongs, a sci-fi singer-songwriter storytelling adventure! Banjo, uke, and sad robots galore. Sweet Venues Grassmarket, August 18th-25th.  Would love to meet new folk!","Seattle","ApocalypseSongs"
"3","147363745","1563822837","@halesvince Come and see my Edinburgh debut with #ApocalypseSongs, an interactive sci-fi singer-songwriter storytelling adventure! Banjo, uke, and sad robots galore. Sweet Venues Grassmarket, August 18th-25th. You won’t see anything quite like this anywhere else!","Seattle","ApocalypseSongs"
"4","1852229575","1563822887","We are coming home!! Sad times, but lots of happy musos. We’ll update you on a more specific ETA once we meet our feeder driver in Dover. Over and out! #bgsontour https://t.co/x0T8kO1SNC","Welling, Kent","bgsontour"
"5","255700685","1563822884","@realDonaldTrump How do you find time to run our country when you tweet 24x7 and are obsessed with your adversaries? In your mind you are the greatest #POTUS ever, but history will unveil you are by far the worst ever. So sad for our great country.","Texas, USA","POTUS"
"6","74326900","1563822863","Oh nah...that was some sad ass sex...and she had to clean herself up? Oh no. #EuphoriaHBO","Austin, TX","EuphoriaHBO"
"7","314104348","1563822828","Damn I was lied to today. Shit hurts! #wow #sad #WhatsReal","houston","c(""wow"", ""sad"", ""WhatsReal"")"
"8","139479393","1563822793","Sad Day for #BugHead Fans!!! https://t.co/xbNV6RgX0L","Brooklyn NYC","BugHead"
"9","941076457819922432","1563822756","After 3 months of diligently trying to win Pentatonix tickets every day, and despite having 65,779 entries, I woke up to this.  I'm not surprised.  I guess it just wasn't meant to be.  But I AM sad. ☹️😢😭@PTXofficial #PTXTheWorldTour https://t.co/Qj3dWvQAyw","New","PTXTheWorldTour"
"10","1024143106692866048","1563822752","@FatherFantyy Sad boy #gang","Ohio, USA","gang"
"11","953419668395560961","1563822720","#9YearsOfOneDirection I remember being 11 and sad just willing to end it all and then I discovered music that changed my life and it came with 5 boys who kept bringing a smile on my face whenever I was down. Now 6 years later and they’re still helping!Thank you for everything ♥️","Ontario, Canada","9YearsOfOneDirection"
"12","166811593","1563822713","#vwvortex With the addition of the Wolfsburg New Beetle, our family of VWs is complete - for now. My father, recognized as the first Canadian dealer (Sudbury Ontario), would appreciate how the brand has evolved. Sad to see that two of my vehicles will be end of line by 2020. https://t.co/lF5SUZeinR","Stratford, Ontario","vwvortex"
"13","972962990118105090","1563822687","Even after the woman changed her story and backtracked (a’la Jussie Smollett), twitter victim pimps foam at the mouth for a good racism story. Sad. When something isn’t racial, #Democrats make it so. #IStandWithErica Stop using Blacks as political pawns.  https://t.co/USd8T3gEUe","United States","c(""Democrats"", ""IStandWithErica"")"
"14","4910897308","1563822669","#TroyU I’m sooooooo sad that part two got canceled this year i swear this was going to be in comparison to the Alphas Pajama Party i did in 2k16 https://t.co/aLnhZsdmRo","Alabama ","TroyU"
"15","1014576750867738638","1563822612","@ktaebwi @BTS_twt NNNNOOO IM FCKING SAD NOW 😭😭😭😭

#MTVHottest BTS @BTS_twt https://t.co/TKZCxPNgQc","Texas, USA","MTVHottest"
"16","1020752456093855744","1563822584","#NintendoSwitch i felt bad for luigi right now because look how sad luigi is aw https://t.co/GB27vg24c2","Canada","NintendoSwitch"
"17","963938566068998145","1563822583","@WomanRises Anyone who booked their wedding there is a supporter. Sad as that is. #TrumpIsTheWorstPresidentEver #TrumpsTerrifiedOfMueller #TrumpIsAFraud","New Jersey, USA","c(""TrumpIsTheWorstPresidentEver"", ""TrumpsTerrifiedOfMueller"", ""TrumpIsAFraud"")"
"18","761694959389052928","1563822551","@_mandooo_ @hertearscried ik it’s sad  #MTVHottest ariana grande","clouds","MTVHottest"
"19","1205914022","1563822549","Sad that nobody in Toronto wants him in a #Raptors jersey....

Things have changed. https://t.co/i0P00KLgn7","Toronto","Raptors"
"20","390720230","1563822493","Almost an hour and a half into our #hike and we arrive at the #hanginglake in #glenwoodsprings . In order to preserve the lake, swimming in it is not allowed. The sad part is, after a long hike on a hot day it’s the only thing you’d want to do. 
https://t.co/nqmnqZlNqS https://t.co/uSQAK3qAhn","Boulder, CO","c(""hike"", ""hanginglake"", ""glenwoodsprings"")"
"21","809384904467316736","1563822419","@jbenton @repairrestores1 And the horrific #Sinclair owned local media stations push only the best #rublestooge follies

Now the #whiteright can flourish unabated 

How sad

Northern Michigan is a  microcosm of America 

Not a good look
.#stayinghome #canada","Canada","c(""Sinclair"", ""rublestooge"", ""whiteright"", ""stayinghome"", ""canada"")"
"22","22499748","1563822412","#BREAKING SAD NEWS: Art Neville Of The Neville Brothers The Meters Band Dead At 81 https://t.co/QZsDMALKH2 via @THECOUNTnews","Las Vegas, NV","BREAKING"
"23","4830392379","1563822387","@chuzalong @BlueWI2020 @LiberalDemIda @sjgoody1 @NewYorker @JaneMayerNYer @SenGillibrand You follow a bunch of “resist” racists... and they won’t even follow you back!
#sad","Southeastern U.S.","sad"
"24","4830392379","1563817350","@chuzalong @BlueWI2020 @LiberalDemIda @sjgoody1 @NewYorker @JaneMayerNYer @SenGillibrand You follow far more ppl than follow you back...
that speaks directly to your racism and ignorance..
You cant get them to follow you back-
#Sad","Southeastern U.S.","Sad"
"25","27071852","1563822383","What I realized is that even your own family members will try to see your downfall! There is only one member in which I can say that I trust, this is sad! Especially when you have to hear it from your own child’s mouth! Cut off time! #HealingTime #MovingForward #HypocritesTalk","Toronto, Ontario, Canada","c(""HealingTime"", ""MovingForward"", ""HypocritesTalk"")"
"26","1083122159327854592","1563822378","But I mean ofcourse I knew that Norma was gonna die because of the movie Psycho but I'm still so sad about it :( #BatesMotel","Rivendell","BatesMotel"
"27","22652415","1563822354","Cleaning out my closet and came across this bad boy. So sad I won’t be joining you all this year. #TLCC2019 https://t.co/mzqnRVp9aS","Winnipeg, Manitoba Canada","TLCC2019"
"28","959216494038081537","1563822315","Devils have feelings, too! 😭 We slung seitan at the #SadSummerFest last weekend, and it was wicked fun! 🌱🚚🌱 We fed you by the hundreds, and have highlights up on the blog now:
https://t.co/G2qmB1uKVT

Thanks for rocking out with us! 🎶😈🤘
#bostonfoodtrucks #summerofseitan","Boston, MA","c(""SadSummerFest"", ""bostonfoodtrucks"", ""summerofseitan"")"
"29","995023554369507334","1563822312","The sad reason #marijuana research hasn’t exploded in Canada https://t.co/5aQ34tdBNf By @BrenBures https://t.co/BSkixkDON4","Toronto, Ontario","marijuana"
"30","557204298","1563822252","I will have the largest crowd ever, EVER, PERIOD, at my funereal.  This crowd is very small. SAD!...  how old is your daughter? #TrumpGreetingCards","United States","TrumpGreetingCards"
"31","32437027","1563822235","The sad part is nobody will pay mind to Women of trans-experience, especially Black and Brown women, until they reach their guns first.

#DenaliBerriesStuckey Rest, Sis. #blackTRANSlivesmatter","Philadelphia, PA","c(""DenaliBerriesStuckey"", ""blackTRANSlivesmatter"")"
"32","157501340","1563822212","@KailLowry #coffeeconvos just listening to ur podcast n being in an interracial union, not only do u need 2 talk 2 boys bout discrimination but probably also how to handle police as the get older. It is very unfortunate that this sh*t still happens n it sad but talk should happen","Cudahy, Wisconsin","coffeeconvos"
"33","924997147665235968","1563822152","Hopefully, #RAWReunion kicks off a more exciting Paul Heyman Era of #RAW. https://t.co/5FLZHRE9Ub","Philadelphia, PA","c(""RAWReunion"", ""RAW"")"
"34","3278924562","1563822130","Sad!! As the son of Cuban immigrants, Rubio hd the chance 2 stand up 4 migrants &amp; 2 stand up 2 tRump. But he chose a different path, one that is being cld ""spineless."" This will be his legacy. Hope Rubio enjoys his retirement in 2020. #MarkRubio https://t.co/hhKHQqJ87A","New York, NY","MarkRubio"
"35","372754026","1563822101","Such a sad story &amp; my heart is heavy for the family of this bright young man who died (far too prematurely) in last week's storm in #Connecticut.
https://t.co/dwFt0FDYem","Fairfield, CT","Connecticut"
"36","161737471","1563822094","Cliff went from Hero to Zero in hours. Sad but how this season has gone #bb21","Orlando, FL","bb21"
"37","966865893031645184","1563822060",".@CraigY704 , why did you add us to this ""antifa target list?""

Is it because you don't like:

#freespeech
Opposition
.@realDonaldTrump
America

Do you wish harm on us?? How sad has this Country become to stoop to these lows?
#MondayMorning #ncpol #DomesticTerrorism https://t.co/dEUNIJIOub","North Carolina, USA","c(""freespeech"", ""MondayMorning"", ""ncpol"", ""DomesticTerrorism"")"
"38","1529089806","1563822040","Listening to Ashley talk about her dad made me so sad. He blocked her on Facebook when she tried to contact him. That breaks my heart. #RHOP","Ontario, Canada","RHOP"
"39","1529089806","1563813954","The way Ashley has reacted to the sexual assault allegations against Michael makes me sad. Instead of holding him accountable she just blindly believes him. Which unfortunately most wives &amp; girlfriends do. 
It’s all so gross &amp; sickening #RHOP","Ontario, Canada","RHOP"
"40","716271652292562944","1563821991","@TexasGotFans_ @vols_fb @CoachD_44 @PlayBookAthlete @Rivals @AlabamaFTBL @TCUFootball @twftraining @AlPopsUSAFB @usnikefootball @USAFootball @futurestarsgame @AllAmericaGame Sad your not going to be grinding with us at Nolan but you my boy and your going to do you thing at Bowie!! #family","Arlington, TX","family"
"41","1000603752439611392","1563821972","This scene is so sad😭 #SPNSummer2019 #SlumberParty https://t.co/oNJo85JPGG","Mahomet, IL","c(""SPNSummer2019"", ""SlumberParty"")"
"42","93692734","1563821917","@JustThrownBack @Roose95392913 @realDonaldTrump #tRumpaPaLOSER loves to tout the stock market SINCE ELECTION DAY
when most economists agree that the economy becomes that of the incoming president on his 1st inaugural anniversary. Since Jan 20,18 the Dow is up 500 points in over a year and a half. 
I'd call that pretty flat
Sad https://t.co/rxnky18n4g","far norCal(angrywhitemanistan)","tRumpaPaLOSER"
"43","569538439","1563821911","Cliff man, SOOOO sad ZERO respect man.

#BB21 https://t.co/HU7A5DnpU4","Pittsburgh","BB21"
"44","569538439","1563815871","The guys are all members of the first pervasive online porn generation. Tinder etc...

Maybe this has something to do with their sad regard for women.

 #BB21 https://t.co/2ynQfLLpju","Pittsburgh","BB21"
"45","27478563","1563821854","This place holds the biggest piece of my heart ❤️ #home Sad to leave today. #untilnexttime https://t.co/TLB3JXDIks","Ontario, Canada","c(""home"", ""untilnexttime"")"
"46","885898434112356352","1563821832","Me: Excited to see #Sigma trending!
Also Me: Sad it's not more Mega Man X News. https://t.co/1L3TkZXfFs","Ohio, USA","Sigma"
"47","16572050","1563821831","Sad silence. #RIPArtNeville https://t.co/NsE3RpDJDf","Birmingham, AL","RIPArtNeville"
"48","390488151","1563821768","@Joe_Magliocca @seanchucalgary @jkenney @KayceeMaduYEG There you go Joe trying to play the blame game, YOU being the fiscal conservative can't be sitting there now asking for the taxpayers of province to have bailed out Corporate YYC are you? But be the good lil boy JK wants you to be. Sad that you can't take responsibility. #yyccc","Calgary,Alberta,Canada","yyccc"
